dataset,record_id,block_mode,gamma,m_star,G_star,purity_rule,n_recurrence_control_pairs,recurrence_rejections,recurrence_rejection_rate,n_alt_pairs,alt_rejections,power,graph_density,n_clique_groups,n_cc_groups,overlap_fraction,edge_jaccard_30db,elapsed_sec,arm
ISP,3,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.39285714285714285,4,3,0.125,0.16666666666666666,482.55606174468994,N002
ISP,4,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,0,0.0,0,0,,1.0,1,1,0.0,0.2222222222222222,501.47051668167114,R1_Oracle
ISP,4,attribute_kmeans,1.0,128,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.8666666666666667,2,1,0.5,0.3157894736842105,766.6391537189484,N002
ISP,4,attribute_kmeans,1.0,128,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,1.0,1,1,0.0,0.6666666666666666,772.7203934192657,R0_Kors
ISP,5,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.42857142857142855,2,2,0.0,0.21052631578947367,203.72608041763306,R0_Kors
ISP,5,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,6,0,0.0,0,0,,0.5,2,1,0.375,0.7142857142857143,188.8143274784088,R1_Oracle
ISP,5,attribute_kmeans,1.0,128,8,exact_phase_and_beat_membership,10,0,0.0,0,0,,0.5,2,1,0.25,0.8571428571428571,265.9606511592865,N002
ISP,5,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,6,2,0.3333333333333333,0,0,,0.35714285714285715,3,2,0.125,0.46153846153846156,261.172080039978,N003a
ISP,4,attribute_kmeans,1.0,64,6,exact_phase_and_beat_membership,10,0,0.0,0,0,,1.0,1,1,0.0,0.9333333333333333,800.2707278728485,N003a
ISP,6,attribute_kmeans,1.0,64,4,exact_phase_and_beat_membership,3,1,0.3333333333333333,0,0,,0.8333333333333334,2,1,0.5,0.07692307692307693,488.7539267539978,N002
ISP,6,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,9,0,0.0,0,0,,0.5714285714285714,3,2,0.625,0.23809523809523808,532.7114193439484,R1_Oracle
ISP,6,attribute_kmeans,1.0,64,8,exact_phase_and_beat_membership,9,0,0.0,0,0,,0.5357142857142857,2,1,0.375,0.5185185185185185,376.0443139076233,R0_Kors
ISP,7,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.2,4,4,0.0,0.0,297.29006457328796,R1_Oracle
ISP,7,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.17857142857142858,5,4,0.25,0.2222222222222222,343.49596786499023,R0_Kors
ISP,7,attribute_kmeans,1.0,32,6,exact_phase_and_beat_membership,1,0,0.0,0,0,,0.06666666666666667,5,5,0.0,0.0,175.9921247959137,N002
ISP,6,attribute_kmeans,1.0,128,8,exact_phase_and_beat_membership,18,0,0.0,0,0,,0.8571428571428571,2,1,0.375,0.125,1019.7037768363953,N003a
ISP,7,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,3,0,0.0,0,0,,0.21428571428571427,6,3,0.125,0.3333333333333333,212.57529735565186,N003a
ISP,8,attribute_kmeans,1.0,32,8,exact_phase_and_beat_membership,5,1,0.2,0,0,,0.7142857142857143,3,2,0.625,0.5185185185185185,226.9288969039917,R0_Kors
