dataset,model_id,target,mae,pearson_r,r2,bland_bias,loa_low,loa_high,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,f1,sens,spec,ppv,npv,adj_or,adj_or_ci_low,adj_or_ci_high,pval_logistic,fisher_pval,evaluation_version
echonext,f_1000004_s42,Signal_Lead_aVL,0.3996046204469896,0.5598733434852189,0.1721701182750594,0.0603142702403907,-1.3765083634892077,1.4971369039699889,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000004_s42,Signal_Lead_aVR,0.3881091276234276,0.8231558989352373,0.3523157156512667,-0.0379833456939125,-1.4029096831455885,1.3269429917577635,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,QRS_Overall,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,3.3929088526310704e-66,legacy_v1
echonext,f_1000010_s42,Signal_Lead_I,0.0,0.9999999417641466,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_II,0.0,0.999999948234797,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_III,0.3548239834746637,0.2588709599011449,0.0371429801276776,0.0146484144764131,-1.441833065109131,1.471129894061957,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_V1,0.3735809729965345,0.464252033178784,0.1248884297135462,0.1512035210272683,-1.3320826659619962,1.634489708016533,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_V2,0.0,0.99999994674157,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_V3,0.3753175920571564,0.66760055262357,0.2914529213387116,-0.1433257462531496,-1.4041254143192132,1.117473921812914,,,,,,,,,,,,,,,,,legacy_v1
echonext,f_1000010_s42,Signal_Lead_V4,0.3480560557920649,0.6446368882946849,0.2951836790667135,0.0481508634022745,-1.2812105082874992,1.377512235092048,,,,,,,,,,,,,,,,,legacy_v1
