family,metric,effect,effect_type,protocol,bootstrap_unit,endpoint_representation,estimate,ci_low,ci_high,n
unet,j_point_amplitude_mae,correlation:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.022503560844421542,0.021490226883840998,0.023552905501335295,2198
unet,j_point_amplitude_mae,mmd:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,3.914436436867557e-05,2.547177410129691e-06,7.95766324425837e-05,2198
unet,j_point_amplitude_mae,mse:correlation:mmd,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00012347294255799602,4.8261379797725365e-05,0.0001941351102018503,2198
unet,j_point_amplitude_mae,mse:correlation:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,-0.043909558265582675,-0.04594487234791165,-0.04185846567120781,2198
unet,j_point_amplitude_mae,mse:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,0.00010252960625395274,2.9489933808017638e-05,0.00018301856450896636,2198
unet,j_point_amplitude_mae,correlation:mmd:derivative,three_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,6.653691787743861e-05,-9.521926380146165e-06,0.0001433745231846669,2198
unet,j_point_amplitude_mae,mse:correlation:mmd:derivative,four_way,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,record_metric,8.455548542225437e-05,-6.778225907534945e-05,0.00023700799852068217,2198
unet,ecgfounder_auroc,mse,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.08591252144754163,0.07767199793924837,0.09331500957130082,2198
unet,ecgfounder_auroc,correlation,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.07688717449025154,0.07056875751493594,0.08343318095444045,2198
unet,ecgfounder_auroc,mmd,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,9.442643296275833e-05,-0.000185409025508124,0.0004042332315790639,2198
unet,ecgfounder_auroc,derivative,main,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,-0.0009436617766043219,-0.005003293375261698,0.0029906566749393773,2198
unet,ecgfounder_auroc,mse:correlation,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,-0.14403809329577227,-0.1596644989508329,-0.1304452513305029,2198
unet,ecgfounder_auroc,mse:mmd,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.00017632291182967762,-0.0003819620687964629,0.0007912768289718635,2198
unet,ecgfounder_auroc,mse:derivative,pairwise,supplemental_2x2x2x2_including_mse_toggle,paired_ptbxl_record,macro_auroc_record_influence,0.0024383673850504285,-0.005848859527825114,0.01076943882882051,2198
