model_id,clean_name,category,val_pearson,val_p05,val_recon_loss,boundary_f1,boundary_ppv,boundary_sens,macro_f1_wave,miou_wave,P_iou,QRS_iou,T_iou,train_recon,train_ssl,train_total
ssl_log_magnitude_real_local_cross_attn_1110000_s42_l0,ssl_log_magnitude_real_local_cross_attn,Wavelet SSL / Contrastive,0.706562307158991,0.3663758516311646,0.9374356554902118,0.6797972627164816,0.5904985398414685,0.8009166752133428,0.779324471950531,0.6554281115531921,0.453757643699646,0.8647186756134033,0.6478078961372375,1.7147288979048245,0.015233712651592428,2.068064807824143
ssl_log_magnitude_real_local_gated_add_1110000_s42_l0,ssl_log_magnitude_real_local_gated_add,Wavelet SSL / Contrastive,0.7157592533930174,0.3744731307029724,0.9194719134897426,0.7507171405403154,0.686386613723278,0.8283532736126976,0.8461062908172607,0.738464891910553,0.6340681314468384,0.8657306432723999,0.7155959010124207,1.7090729278041508,0.048310930171532325,2.050488128510362
ssl_magnitude_phase_both_cross_attn_1110000_s42_l0,ssl_magnitude_phase_both_cross_attn,Wavelet SSL / Contrastive,0.7090472278069574,0.3713596761226654,0.9333318463270215,0.6884681112858022,0.6034206377947724,0.8014224026651483,0.7843203544616699,0.6616553664207458,0.46111977100372314,0.8661960363388062,0.657650351524353,1.713177527179041,0.07817860843210209,2.0683031225146102
ssl_magnitude_phase_both_gated_add_1110000_s42_l0,ssl_magnitude_phase_both_gated_add,Wavelet SSL / Contrastive,0.7155612060272033,0.37590069472789767,0.9194153339966483,0.7487278475533309,0.6848043169054358,0.8258140266868486,0.8468217849731445,0.7395286560058594,0.6360440850257874,0.8672263622283936,0.715315580368042,1.7085672047905707,0.17050984687875212,2.0560816091598175
ssl_magnitude_phase_local_cross_attn_1110000_s42_l0,ssl_magnitude_phase_local_cross_attn,Wavelet SSL / Contrastive,0.7090229348939098,0.36724805235862734,0.9328767804131992,0.6930888476959537,0.6072040390713115,0.8072718656391794,0.7904255986213684,0.6688951849937439,0.47337856888771057,0.8656424880027771,0.6676644086837769,1.7130453792312883,0.005535789846352585,2.063549145053037
ssl_magnitude_phase_local_gated_add_1110000_s42_l0,ssl_magnitude_phase_local_gated_add,Wavelet SSL / Contrastive,0.7131080830775192,0.3667272925376892,0.9240139964698018,0.7432524147621159,0.6749877305926846,0.8268785299245652,0.8440714478492737,0.7357704639434814,0.6286160945892334,0.8677270412445068,0.7109683156013489,1.7111181357791112,0.07537098365722993,2.054883682158761
ssl_magnitude_phase_sin_both_cross_attn_1110000_s42_l0,ssl_magnitude_phase_sin_both_cross_attn,Wavelet SSL / Contrastive,0.7075015472694447,0.36516796946525576,0.9364695661309836,0.6862314231191811,0.6022683259743624,0.7973978023843458,0.7808087468147278,0.6571906208992004,0.4566735625267029,0.8650039434432983,0.6498944163322449,1.7152333695856419,0.00034562325973697507,2.0675301274587943
ssl_magnitude_phase_sin_both_gated_add_1110000_s42_l0,ssl_magnitude_phase_sin_both_gated_add,Wavelet SSL / Contrastive,0.7127440055005467,0.36924085319042205,0.9250183200490647,0.7436754875227893,0.6758678522374033,0.8266062151428238,0.8415641784667969,0.732389509677887,0.6188400387763977,0.866401731967926,0.7119268178939819,1.7116652190174584,0.1562138830141747,2.0602056969919285
ssl_magnitude_phase_sin_local_cross_attn_1110000_s42_l0,ssl_magnitude_phase_sin_local_cross_attn,Wavelet SSL / Contrastive,0.7086144323711187,0.36092303991317753,0.9348635232966879,0.6909842042052098,0.6065699946016152,0.8026920261280728,0.7868501543998718,0.6645349264144897,0.46658071875572205,0.8649678230285645,0.6620562076568604,1.7154096022084118,0.004580640953348783,2.066963646811692
ssl_magnitude_phase_sin_local_gated_add_1110000_s42_l0,ssl_magnitude_phase_sin_local_gated_add,Wavelet SSL / Contrastive,0.7132059475402738,0.3735592931509018,0.9232612796451735,0.7481893089050121,0.6788386357023298,0.8333221342405778,0.8449854254722595,0.7371664047241211,0.6270777583122253,0.8676918745040894,0.7167295217514038,1.7110821841834079,0.08658110183484698,2.054666523104636
ssl_w0.01_1110000_s42_l0,ssl_w0.01,Wavelet SSL / Contrastive,0.7146241041672541,0.37095003426074985,0.9211516034775886,0.7414059286911954,0.6706876271753969,0.8287953430635766,0.844683825969696,0.7365909218788147,0.6287185549736023,0.8663222193717957,0.7147319912910461,1.710421972788387,0.10474702712225943,2.0516542689452995
ssl_w0.1_1110000_s42_l0,ssl_w0.1,Wavelet SSL / Contrastive,0.714701973361723,0.37297726273536685,0.9211918763492418,0.7483321144939251,0.6846262871093922,0.8251102521210493,0.8453419804573059,0.7377251982688904,0.6268259882926941,0.8681437373161316,0.7182057499885559,1.7100763487261395,0.15125775789543347,2.0647803385955177
tau0.999_1110000_s42_l0,tau0.999,Other,0.7151633662769363,0.375064492225647,0.920366108417511,0.7456338850959886,0.6825667801829385,0.8215418675135538,0.8426306843757629,0.7336457371711731,0.6260232329368591,0.8657082915306091,0.7092057466506958,1.7108652257569126,0.08581532696615381,2.0544270332469496
tau0.99_1110000_s42_l0,tau0.99,Other,0.7134072991873877,0.3746901124715805,0.9241669359414474,0.7418565372844749,0.6704514949881486,0.8302842329741371,0.8429209589958191,0.73429274559021,0.622337281703949,0.8673427700996399,0.713198184967041,1.7109102849715196,0.12216518558516205,2.0580269028244578
tf_sc16_cy4_1110000_s42_l0,tf_sc16_cy4,Structural Ablation,0.7161931325965213,0.37103372514247895,0.9181151320968849,0.745900613144979,0.6757684179090763,0.8322753137808963,0.8461530804634094,0.7389926910400391,0.627726674079895,0.8701667785644531,0.719084620475769,1.708479086363476,0.12513128488416916,2.0546209682303513
tf_sc16_cy8_1110000_s42_l0,tf_sc16_cy8,Structural Ablation,0.7153252836408975,0.3775775760412216,0.9194824531458426,0.7527447092559385,0.6802795102003518,0.8424888863740049,0.8533313274383545,0.748788595199585,0.6459946036338806,0.8656488656997681,0.7347224354743958,1.7078843148860674,0.10009185592284839,2.0493092809779845
tf_sc32_cy4_1110000_s42_l0,tf_sc32_cy4,Structural Ablation,0.714408285477281,0.3663481712341309,0.921924997067106,0.7456832497627107,0.68015227790134,0.825188056344404,0.8417529463768005,0.7328717708587646,0.6163197755813599,0.8683568835258484,0.7139387726783752,1.709497229851591,0.17603423611478677,2.060013106140688
tf_sc48_cy6_1110000_s42_l0,tf_sc48_cy6,Structural Ablation,0.714684828184545,0.3658531099557877,0.9200514243996661,0.7498499493428983,0.6848825242377817,0.8284346143916594,0.8475983142852783,0.74049973487854,0.6376596093177795,0.8648844361305237,0.7189552187919617,1.7097009665525382,0.14660524643474285,2.056023582542541
tf_small96_1110000_s42_l0,tf_small96,Structural Ablation,0.7142331795412851,0.3754441261291504,0.9224724760953931,0.74384778227729,0.6754819696169355,0.8276105969352209,0.8411129117012024,0.7317360043525696,0.6183536052703857,0.8661796450614929,0.7106747627258301,1.708795287617855,0.0254764901234733,2.0492812056582297
