dataset,evaluation_type,ground_truth_status,model_id,family,factorial_mask,device,task_name,source_parquet,task_index,n,reference_mean_probability,reconstructed_mean_probability,probability_mae,probability_rmse,probability_pearson,bernoulli_kl_reference_to_reconstruction,jensen_shannon_divergence,threshold,threshold_agreement,reference_positive_rate,reconstructed_positive_rate
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LEFT ATRIAL ENLARGEMENT,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,13,180,0.08280482183262292,0.6780859208355348,0.5952810990029118,0.677953088797118,0.8006446371690046,1.933984010853481,0.28738016450896436,0.5,0.3277777777777778,0.0,0.6722222222222223
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,NONSPECIFIC T WAVE ABNORMALITY,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,14,180,0.24581140364623733,0.21582829710096121,0.07748044025566843,0.10885048050321569,0.8829424902035399,0.031505160730958603,0.00803763347368883,0.5,0.9111111111111111,0.14444444444444443,0.12222222222222222
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LOW VOLTAGE QRS,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,15,180,0.09956701302677781,0.1361514502764395,0.05294815963764753,0.11201044007960413,0.9078057423194532,0.036260651392052326,0.010063191625426193,0.5,0.9555555555555556,0.1,0.12222222222222222
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,PREMATURE ATRIAL COMPLEXES,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,16,180,0.08936275624566609,0.09256504603351155,0.039213426959597404,0.05111020197769168,0.6093982229311294,0.01338403204977845,0.00335064119826862,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,ANTERIOR INFARCT,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,17,180,0.053785515824953715,0.24726082363890278,0.20076011729737123,0.22996376838051774,0.2211400991271152,0.17056857970032996,0.05060682683878734,0.5,0.9444444444444444,0.0,0.05555555555555555
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,18,180,0.06974607033965488,0.13413897171202632,0.08531024761808416,0.11495724379061964,-0.24864928796259794,0.05643190526215844,0.016707061168665445,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,PREMATURE SUPRAVENTRICULAR COMPLEXES,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,19,180,0.12762324007021056,0.10553365848544571,0.04546311611516608,0.05951768859138049,0.8093065871528081,0.016092952162111287,0.003734872850611389,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LEFT BUNDLE BRANCH BLOCK,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,20,180,0.020601712970528752,0.06773032552769614,0.047174687485676256,0.05681197588288162,0.7956121179704396,0.03055369227229154,0.009511713814249216,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,21,180,0.07994827862518529,0.09918937920592726,0.035324525170856054,0.056958223455802634,0.8857669144406318,0.013782915991670435,0.0037998526580696485,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,22,180,0.12198194146363271,0.09454207230980198,0.035127442019681134,0.05022367473164863,0.5941220799447127,0.012018494692475543,0.0027044018788663854,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,T WAVE INVERSION NOW EVIDENT IN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,23,180,0.07260973888656332,0.11210030074127847,0.04987458905929493,0.06743585009465361,0.7168573049174348,0.024927973102702686,0.007287389591842055,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LATERAL INFARCT,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,24,180,0.1076401412797471,0.6016631964594126,0.4940230551796655,0.569326544161181,-0.00358885203281854,1.059180259163509,0.20210810500605295,0.5,0.43333333333333335,0.0,0.5666666666666667
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,NONSPECIFIC ST ABNORMALITY,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,25,180,0.09963429099750809,0.13361257161531184,0.0703336589723929,0.094810843767254,0.6395055131984375,0.03682712220697782,0.01019392015329457,0.5,0.9833333333333333,0.022222222222222223,0.005555555555555556
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,LEFT VENTRICULAR HYPERTROPHY,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,26,180,0.10702544464471025,0.12973943740232952,0.06763546927573366,0.10335762705241594,0.49678718452182735,0.04193277927575117,0.011264794226067288,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,T WAVE INVERSION NO LONGER EVIDENT IN,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,27,180,0.1317236083249251,0.1166691678472691,0.025264562562935883,0.03298106916975724,0.8099916717704871,0.0062725097860969565,0.001449214280954636,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,WITH RAPID VENTRICULAR RESPONSE,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,28,180,0.06454814384924248,0.12855099148906043,0.07712110016663144,0.18220533255317975,0.8147651405481829,0.09393201456902811,0.02032715685581006,0.5,0.8944444444444445,0.016666666666666666,0.12222222222222222
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,QT HAS SHORTENED,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,29,180,0.10043326872918341,0.10450207553803921,0.01814918460117446,0.0246605909398656,0.9499998271000423,0.00283808564688658,0.0007175120994647023,0.5,1.0,0.0,0.0
PhysioNet_smartwatch_simulator,frozen_classifier_probability_fidelity_proxy,unavailable,unet__e1c0m0d1__s42,unet,1001,applewatch_serie8,QT HAS LENGTHENED,results/factorial_v4/smartwatch_per_record/unet__e1c0m0d1__s42__applewatch_serie8.parquet,30,180,0.07408034522086382,0.07935174522766222,0.04048592349669586,0.06058107540514095,0.038550461202543386,0.022815673781576888,0.005298954139568716,0.5,1.0,0.0,0.0
